animal,texture,language_similarity
dolphin,feathers,0.2153199220180262
elephant,feathers,0.1884910972502165
flamingo,feathers,0.3382852026568957
gorilla,feathers,0.16126749798163512
hippo,feathers,0.20140752903044923
pig,feathers,0.2807062466926688
pigeon,feathers,0.32848516413284523
rhino,feathers,0.22157208561432598
shark,feathers,0.1239605091537202
sheep,feathers,0.2302034500839081
goldfish,feathers,0.21010473578226768
snake,feathers,0.3138921790074019
crocodile,feathers,0.17305671250443114
lizard,feathers,0.3060741072729947
eel,feathers,0.1875279570468377
turtle,feathers,0.27194354384353686
toad,feathers,0.27738021142589947
frog,feathers,0.3370608296230059
worm,feathers,0.1367747049964736
platypus,feathers,0.2755232605828997
seal,feathers,0.19559616815671263
ferret,feathers,0.14326031162423009
fox,feathers,0.33312072156071604
bear,feathers,0.06705644059233325
horse,feathers,0.16929879357653693
donkey,feathers,0.20028665580488675
cat,feathers,0.23093578731264058
penguin,feathers,0.303052040111976
ostrich,feathers,0.31755016171733264
peacock,feathers,0.44806242727733125
dolphin,fur,0.26996971580089874
elephant,fur,0.2814332448082516
flamingo,fur,0.292933480368176
gorilla,fur,0.2886350116238874
hippo,fur,0.261078633002785
pig,fur,0.4009877431721912
pigeon,fur,0.30977557162270225
rhino,fur,0.28813941679450317
shark,fur,0.15561172251592775
sheep,fur,0.42193063143252413
goldfish,fur,0.22388878398771042
snake,fur,0.28617841430517166
crocodile,fur,0.2430403678267576
lizard,fur,0.3032540025404723
eel,fur,0.2743554217840188
turtle,fur,0.247014323539199
toad,fur,0.2544831958951156
frog,fur,0.2851110986735782
worm,fur,0.10961366855380239
platypus,fur,0.1862229571469121
seal,fur,0.2814878237785783
ferret,fur,0.25144931606971477
fox,fur,0.3626748326949074
bear,fur,0.2908552752863409
horse,fur,0.2396048126041531
donkey,fur,0.26979416144716944
cat,fur,0.4102252407922867
penguin,fur,0.2739501937684566
ostrich,fur,0.3541617283877479
peacock,fur,0.3052231797333142
dolphin,scales,0.12271935779325711
elephant,scales,0.10848660485784403
flamingo,scales,0.009186424613413277
gorilla,scales,0.09252223262228142
hippo,scales,0.0774455935447141
pig,scales,0.06792520056148307
pigeon,scales,0.05441540301576468
rhino,scales,0.06506217598365738
shark,scales,0.07054292493796897
sheep,scales,0.012049611518215188
goldfish,scales,0.09956435532949122
snake,scales,0.1409219326835819
crocodile,scales,0.06267785158045458
lizard,scales,0.16671642784978383
eel,scales,0.10860892448554595
turtle,scales,0.0688645900905888
toad,scales,0.1222333199643774
frog,scales,0.1536345629037642
worm,scales,0.057707164392453415
platypus,scales,0.07723126690819382
seal,scales,0.10477809125400309
ferret,scales,0.10769469976249352
fox,scales,-0.03013824154704559
bear,scales,0.10091797871533832
horse,scales,0.052229697455175327
donkey,scales,0.03385048844223713
cat,scales,0.084780441367824
penguin,scales,0.07406424026878447
ostrich,scales,0.01977432881781116
peacock,scales,0.06315223453125572
dolphin,skin,0.1145688032418859
elephant,skin,0.06881062031262097
flamingo,skin,0.08441319420795296
gorilla,skin,0.12546555490193384
hippo,skin,0.14499723766121245
pig,skin,0.21801058623689512
pigeon,skin,0.06298095519715649
rhino,skin,0.15549219159190175
shark,skin,0.14793009126070286
sheep,skin,0.16194341638420193
goldfish,skin,0.09382408107223354
snake,skin,0.2097614549994851
crocodile,skin,0.14136364566142953
lizard,skin,0.22016842942062778
eel,skin,0.14575235392638095
turtle,skin,0.10780955689331331
toad,skin,0.19919715383105205
frog,skin,0.1490610270666191
worm,skin,0.16120789948957986
platypus,skin,0.11151518408828698
seal,skin,0.16648432985209322
ferret,skin,0.09355995685572226
fox,skin,0.10899476339310599
bear,skin,0.06697503601234542
horse,skin,0.13228059274110796
donkey,skin,0.05600916729243413
cat,skin,0.19865289538199365
penguin,skin,0.126192300154142
ostrich,skin,0.1389589427562622
peacock,skin,0.06545207642184445
